?s	?lang1	?lang2
<http://purl.obolibrary.org/obo/LANG_1001375>	"Coeur d'Alene"@en	""
<http://purl.obolibrary.org/obo/LANG_1001376>	"Cree"@en	"Cree-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1001377>	"Caramanta"@en	""
<http://purl.obolibrary.org/obo/LANG_1001378>	"Michif"@en	""
<http://purl.obolibrary.org/obo/LANG_1001379>	"Crimean Tatar"@en	"Krimtatarisch"@de
<http://purl.obolibrary.org/obo/LANG_1001380>	"Sãotomense"@en	""
<http://purl.obolibrary.org/obo/LANG_1001381>	"Southern East Cree"@en	""
<http://purl.obolibrary.org/obo/LANG_1001382>	"Plains Cree"@en	""
<http://purl.obolibrary.org/obo/LANG_1001383>	"Northern East Cree"@en	""
<http://purl.obolibrary.org/obo/LANG_1001384>	"Moose Cree"@en	""
<http://purl.obolibrary.org/obo/LANG_1001385>	"El Nayar Cora"@en	""
<http://purl.obolibrary.org/obo/LANG_1001386>	"Crow"@en	""
<http://purl.obolibrary.org/obo/LANG_1001387>	"Iyo'wujwa Chorote"@en	""
<http://purl.obolibrary.org/obo/LANG_1001388>	"Carolina Algonquian"@en	""
<http://purl.obolibrary.org/obo/LANG_1001389>	"Seselwa Creole French"@en	""
<http://purl.obolibrary.org/obo/LANG_1001390>	"Iyojwa'ja Chorote"@en	""
<http://purl.obolibrary.org/obo/LANG_1001391>	"Chaura"@en	""
<http://purl.obolibrary.org/obo/LANG_1001392>	"Chrau"@en	""
<http://purl.obolibrary.org/obo/LANG_1001393>	"Carrier"@en	""
<http://purl.obolibrary.org/obo/LANG_1001394>	"Cori"@en	""
<http://purl.obolibrary.org/obo/LANG_1001395>	"Cruzeño"@en	""
<http://purl.obolibrary.org/obo/LANG_1001396>	"Chiltepec Chinantec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001397>	"Kashubian"@en	"Kaschubisch"@de
<http://purl.obolibrary.org/obo/LANG_1001398>	"Catalan Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001399>	"Chiangmai Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001400>	"Czech Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001401>	"Cuba Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001402>	"Chilean Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001403>	"Asho Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001404>	"Coast Miwok"@en	""
<http://purl.obolibrary.org/obo/LANG_1001405>	"Songlai Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001406>	"Jola-Kasa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001407>	"Chinese Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001408>	"Central Sierra Miwok"@en	""
<http://purl.obolibrary.org/obo/LANG_1001409>	"Colombian Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001410>	"Sochiapam Chinantec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001411>	"Croatia Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001412>	"Costa Rican Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001413>	"Southern Ohlone"@en	""
<http://purl.obolibrary.org/obo/LANG_1001414>	"Northern Ohlone"@en	""
<http://purl.obolibrary.org/obo/LANG_1001415>	"Sumtu Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001416>	"Swampy Cree"@en	""
<http://purl.obolibrary.org/obo/LANG_1001417>	"Siyin Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001418>	"Coos"@en	""
<http://purl.obolibrary.org/obo/LANG_1001419>	"Tataltepec Chatino"@en	""
<http://purl.obolibrary.org/obo/LANG_1001420>	"Chetco"@en	""
<http://purl.obolibrary.org/obo/LANG_1001421>	"Tedim Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001422>	"Tepinapa Chinantec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001423>	"Chittagonian"@en	""
<http://purl.obolibrary.org/obo/LANG_1001424>	"Thaiphum Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001425>	"Tlacoatzintepec Chinantec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001426>	"Chitimacha"@en	""
<http://purl.obolibrary.org/obo/LANG_1001427>	"Chhintange"@en	""
<http://purl.obolibrary.org/obo/LANG_1001428>	"Emberá-Catío"@en	""
<http://purl.obolibrary.org/obo/LANG_1001429>	"Western Highland Chatino"@en	""
<http://purl.obolibrary.org/obo/LANG_1001430>	"Northern Catanduanes Bikol"@en	""
<http://purl.obolibrary.org/obo/LANG_1001431>	"Wayanad Chetti"@en	""
<http://purl.obolibrary.org/obo/LANG_1001432>	"Chol"@en	""
<http://purl.obolibrary.org/obo/LANG_1001433>	"Zacatepec Chatino"@en	""
<http://purl.obolibrary.org/obo/LANG_1001434>	"Cua"@en	""
<http://purl.obolibrary.org/obo/LANG_1001435>	"Cubeo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001436>	"Usila Chinantec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001437>	"Chungmboko"@en	""
<http://purl.obolibrary.org/obo/LANG_1001438>	"Chuka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001439>	"Cuiba"@en	""
<http://purl.obolibrary.org/obo/LANG_1001440>	"Mashco Piro"@en	""
<http://purl.obolibrary.org/obo/LANG_1001441>	"San Blas Kuna"@en	""
<http://purl.obolibrary.org/obo/LANG_1001442>	"Culina"@en	""
<http://purl.obolibrary.org/obo/LANG_1001443>	"Cumanagoto"@en	""
<http://purl.obolibrary.org/obo/LANG_1001444>	"Cupeño"@en	""
<http://purl.obolibrary.org/obo/LANG_1001445>	"Cun"@en	""
<http://purl.obolibrary.org/obo/LANG_1001446>	"Chhulung"@en	""
<http://purl.obolibrary.org/obo/LANG_1001447>	"Teutila Cuicatec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001448>	"Tai Ya"@en	""
<http://purl.obolibrary.org/obo/LANG_1001449>	"Cuvok"@en	""
<http://purl.obolibrary.org/obo/LANG_1001450>	"Chukwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001451>	"Tepeuxila Cuicatec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001452>	"Cuitlatec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001453>	"Chug"@en	""
<http://purl.obolibrary.org/obo/LANG_1001454>	"Valle Nacional Chinantec"@en	""
<http://purl.obolibrary.org/obo/LANG_1001455>	"Kabwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001456>	"Maindo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001457>	"Woods Cree"@en	""
<http://purl.obolibrary.org/obo/LANG_1001458>	"Kwere"@en	""
<http://purl.obolibrary.org/obo/LANG_1001459>	"Chewong"@en	""
<http://purl.obolibrary.org/obo/LANG_1001460>	"Kuwaataay"@en	""
<http://purl.obolibrary.org/obo/LANG_1001461>	"Nopala Chatino"@en	""
<http://purl.obolibrary.org/obo/LANG_1001462>	"Cayubaba"@en	""
<http://purl.obolibrary.org/obo/LANG_1001463>	"Welsh"@en	"Kymrisch"@de
<http://purl.obolibrary.org/obo/LANG_1001464>	"Cuyonon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001465>	"Huizhou Chinese"@en	""
<http://purl.obolibrary.org/obo/LANG_1001466>	"Knaanic"@en	""
<http://purl.obolibrary.org/obo/LANG_1001467>	"Zenzontepec Chatino"@en	""
<http://purl.obolibrary.org/obo/LANG_1001468>	"Min Zhong Chinese"@en	""
<http://purl.obolibrary.org/obo/LANG_1001469>	"Zotung Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001470>	"Dangaléat"@en	""
<http://purl.obolibrary.org/obo/LANG_1001471>	"Dambi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001472>	"Marik"@en	""
<http://purl.obolibrary.org/obo/LANG_1001473>	"Duupa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001474>	"Dagbani"@en	""
<http://purl.obolibrary.org/obo/LANG_1001475>	"Gwahatike"@en	""
<http://purl.obolibrary.org/obo/LANG_1001476>	"Day"@en	""
<http://purl.obolibrary.org/obo/LANG_1001477>	"Dar Fur Daju"@en	""
<http://purl.obolibrary.org/obo/LANG_1001478>	"Dakota"@en	"Dakota-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1001479>	"Dahalo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001480>	"Damakawa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001481>	"Danish"@en	"Dänisch"@de
<http://purl.obolibrary.org/obo/LANG_1001482>	"Daai Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001483>	"Dandami Maria"@en	""
<http://purl.obolibrary.org/obo/LANG_1001484>	"Dargwa"@en	"Darginisch"@de
<http://purl.obolibrary.org/obo/LANG_1001485>	"Daho-Doo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001486>	"Dar Sila Daju"@en	""
<http://purl.obolibrary.org/obo/LANG_1001487>	"Taita"@en	""
<http://purl.obolibrary.org/obo/LANG_1001488>	"Davawenyo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001489>	"Dayi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001490>	"Dao"@en	""
<http://purl.obolibrary.org/obo/LANG_1001491>	"Bangime"@en	""
<http://purl.obolibrary.org/obo/LANG_1001492>	"Deno"@en	""
<http://purl.obolibrary.org/obo/LANG_1001493>	"Dadiya"@en	""
<http://purl.obolibrary.org/obo/LANG_1001494>	"Dabe"@en	""
<http://purl.obolibrary.org/obo/LANG_1001495>	"Edopi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001496>	"Dogul Dom Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001497>	"Doka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001498>	"Ida'an"@en	""
<http://purl.obolibrary.org/obo/LANG_1001499>	"Dyirbal"@en	""
<http://purl.obolibrary.org/obo/LANG_1001500>	"Duguri"@en	""
<http://purl.obolibrary.org/obo/LANG_1001501>	"Duriankere"@en	""
<http://purl.obolibrary.org/obo/LANG_1001502>	"Dulbu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001503>	"Duwai"@en	""
<http://purl.obolibrary.org/obo/LANG_1001504>	"Daba"@en	""
<http://purl.obolibrary.org/obo/LANG_1001505>	"Dabarre"@en	""
<http://purl.obolibrary.org/obo/LANG_1001506>	"Ben Tey Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001507>	"Bondum Dom Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001508>	"Dungu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001509>	"Bankan Tey Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001510>	"Dibiyaso"@en	""
<http://purl.obolibrary.org/obo/LANG_1001511>	"Deccan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001512>	"Negerhollands"@en	""
<http://purl.obolibrary.org/obo/LANG_1001513>	"Dadi Dadi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001514>	"Dongotono"@en	""
<http://purl.obolibrary.org/obo/LANG_1001515>	"Doondo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001516>	"Fataluku"@en	""
<http://purl.obolibrary.org/obo/LANG_1001517>	"West Goodenough"@en	""
<http://purl.obolibrary.org/obo/LANG_1001518>	"Jaru"@en	""
<http://purl.obolibrary.org/obo/LANG_1001519>	"Dendi (Benin)"@en	""
<http://purl.obolibrary.org/obo/LANG_1001520>	"Dido"@en	""
<http://purl.obolibrary.org/obo/LANG_1001521>	"Dhudhuroa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001522>	"Donno So Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001523>	"Dawera-Daweloor"@en	""
<http://purl.obolibrary.org/obo/LANG_1001524>	"Dagik"@en	""
<http://purl.obolibrary.org/obo/LANG_1001525>	"Dedua"@en	""
<http://purl.obolibrary.org/obo/LANG_1001526>	"Dewoin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001527>	"Dezfuli"@en	""
<http://purl.obolibrary.org/obo/LANG_1001528>	"Degema"@en	""
<http://purl.obolibrary.org/obo/LANG_1001529>	"Dehwari"@en	""
<http://purl.obolibrary.org/obo/LANG_1001530>	"Demisa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001531>	"Dek"@en	""
<http://purl.obolibrary.org/obo/LANG_1001532>	"Delaware"@en	"Delaware-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1001533>	"Dem"@en	""
<http://purl.obolibrary.org/obo/LANG_1001534>	"Slave (Athapascan)"@en	"Slave-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1001535>	"Pidgin Delaware"@en	""
<http://purl.obolibrary.org/obo/LANG_1001536>	"Dendi (Central African Republic)"@en	""
<http://purl.obolibrary.org/obo/LANG_1001537>	"Deori"@en	""
<http://purl.obolibrary.org/obo/LANG_1001538>	"Desano"@en	""
<http://purl.obolibrary.org/obo/LANG_1001539>	"German"@en	"Deutsch"@de
<http://purl.obolibrary.org/obo/LANG_1001540>	"Domung"@en	""
<http://purl.obolibrary.org/obo/LANG_1001541>	"Dengese"@en	""
<http://purl.obolibrary.org/obo/LANG_1001542>	"Southern Dagaare"@en	""
<http://purl.obolibrary.org/obo/LANG_1001543>	"Bunoge Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001544>	"Casiguran Dumagat Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1001545>	"Dagaari Dioula"@en	""
<http://purl.obolibrary.org/obo/LANG_1001546>	"Degenan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001547>	"Doga"@en	""
<http://purl.obolibrary.org/obo/LANG_1001548>	"Dghwede"@en	""
<http://purl.obolibrary.org/obo/LANG_1001549>	"Northern Dagara"@en	""
<http://purl.obolibrary.org/obo/LANG_1001550>	"Dagba"@en	""
<http://purl.obolibrary.org/obo/LANG_1001551>	"Andaandi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001552>	"Dagoman"@en	""
<http://purl.obolibrary.org/obo/LANG_1001553>	"Dogri (individual language)"@en	""
<http://purl.obolibrary.org/obo/LANG_1001554>	"Dogrib"@en	"Dogrib-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1001555>	"Dogoso"@en	""
<http://purl.obolibrary.org/obo/LANG_1001556>	"Ndra'ngith"@en	""
<http://purl.obolibrary.org/obo/LANG_1001557>	"Degaru"@en	""
<http://purl.obolibrary.org/obo/LANG_1001558>	"Daungwurrung"@en	""
<http://purl.obolibrary.org/obo/LANG_1001559>	"Doghoro"@en	""
<http://purl.obolibrary.org/obo/LANG_1001560>	"Daga"@en	""
<http://purl.obolibrary.org/obo/LANG_1001561>	"Dhundari"@en	""
<http://purl.obolibrary.org/obo/LANG_1001562>	"Dhangu-Djangu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001563>	"Dhimal"@en	""
<http://purl.obolibrary.org/obo/LANG_1001564>	"Dhalandji"@en	""
<http://purl.obolibrary.org/obo/LANG_1001565>	"Zemba"@en	""
<http://purl.obolibrary.org/obo/LANG_1001566>	"Dhanki"@en	""
<http://purl.obolibrary.org/obo/LANG_1001567>	"Dhodia"@en	""
<http://purl.obolibrary.org/obo/LANG_1001568>	"Dhargari"@en	""
<http://purl.obolibrary.org/obo/LANG_1001569>	"Dhaiso"@en	""
<http://purl.obolibrary.org/obo/LANG_1001570>	"Dhurga"@en	""
<http://purl.obolibrary.org/obo/LANG_1001571>	"Dehu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001572>	"Dhanwar (Nepal)"@en	""
<http://purl.obolibrary.org/obo/LANG_1001573>	"Dhungaloo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001574>	"Dia"@en	""
<http://purl.obolibrary.org/obo/LANG_1001575>	"South Central Dinka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001576>	"Lakota Dida"@en	""
<http://purl.obolibrary.org/obo/LANG_1001577>	"Didinga"@en	""
<http://purl.obolibrary.org/obo/LANG_1001578>	"Dieri"@en	""
<http://purl.obolibrary.org/obo/LANG_1001579>	"Digo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001580>	"Kumiai"@en	""
<http://purl.obolibrary.org/obo/LANG_1001581>	"Dimbong"@en	""
<http://purl.obolibrary.org/obo/LANG_1001582>	"Dai"@en	""
<http://purl.obolibrary.org/obo/LANG_1001583>	"Southwestern Dinka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001584>	"Dilling"@en	""
<http://purl.obolibrary.org/obo/LANG_1001585>	"Dime"@en	""
<http://purl.obolibrary.org/obo/LANG_1001586>	"Dinka"@en	"Dinka-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1001587>	"Dibo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001588>	"Northeastern Dinka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001589>	"Dimli (individual language)"@en	""
<http://purl.obolibrary.org/obo/LANG_1001590>	"Dirim"@en	""
<http://purl.obolibrary.org/obo/LANG_1001591>	"Dimasa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001592>	"Diriku"@en	""
<http://purl.obolibrary.org/obo/LANG_1001593>	"Dhivehi"@en	"Maledivisch"@de
<http://purl.obolibrary.org/obo/LANG_1001594>	"Northwestern Dinka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001595>	"Dixon Reef"@en	""
<http://purl.obolibrary.org/obo/LANG_1001596>	"Diuwe"@en	""
<http://purl.obolibrary.org/obo/LANG_1001597>	"Ding"@en	""
<http://purl.obolibrary.org/obo/LANG_1001598>	"Djadjawurrung"@en	""
<http://purl.obolibrary.org/obo/LANG_1001599>	"Djinba"@en	""
<http://purl.obolibrary.org/obo/LANG_1001600>	"Dar Daju Daju"@en	""
<http://purl.obolibrary.org/obo/LANG_1001601>	"Djamindjung"@en	""
<http://purl.obolibrary.org/obo/LANG_1001602>	"Zarma"@en	""
<http://purl.obolibrary.org/obo/LANG_1001603>	"Djangun"@en	""
<http://purl.obolibrary.org/obo/LANG_1001604>	"Djinang"@en	""
<http://purl.obolibrary.org/obo/LANG_1001605>	"Djeebbana"@en	""
<http://purl.obolibrary.org/obo/LANG_1001606>	"Eastern Maroon Creole"@en	""
<http://purl.obolibrary.org/obo/LANG_1001607>	"Jamsay Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001608>	"Jawoyn"@en	""
<http://purl.obolibrary.org/obo/LANG_1001609>	"Jangkang"@en	""
<http://purl.obolibrary.org/obo/LANG_1001610>	"Djambarrpuyngu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001611>	"Kapriman"@en	""
<http://purl.obolibrary.org/obo/LANG_1001612>	"Djawi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001613>	"Dakpakha"@en	""
<http://purl.obolibrary.org/obo/LANG_1001614>	"Dakka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001615>	"Kuijau"@en	""
<http://purl.obolibrary.org/obo/LANG_1001616>	"Southeastern Dinka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001617>	"Mazagway"@en	""
<http://purl.obolibrary.org/obo/LANG_1001618>	"Dolgan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001619>	"Dahalik"@en	""
<http://purl.obolibrary.org/obo/LANG_1001620>	"Dalmatian"@en	""
<http://purl.obolibrary.org/obo/LANG_1001621>	"Darlong"@en	""
<http://purl.obolibrary.org/obo/LANG_1001622>	"Duma"@en	""
<http://purl.obolibrary.org/obo/LANG_1001623>	"Mombo Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001624>	"Gavak"@en	""
<http://purl.obolibrary.org/obo/LANG_1001625>	"Madhi Madhi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001626>	"Dugwor"@en	""
<http://purl.obolibrary.org/obo/LANG_1001627>	"Upper Kinabatangan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001628>	"Domaaki"@en	""
<http://purl.obolibrary.org/obo/LANG_1001629>	"Dameli"@en	""
<http://purl.obolibrary.org/obo/LANG_1001630>	"Dama"@en	""
<http://purl.obolibrary.org/obo/LANG_1001631>	"Kemedzung"@en	""
<http://purl.obolibrary.org/obo/LANG_1001632>	"East Damar"@en	""
<http://purl.obolibrary.org/obo/LANG_1001633>	"Dampelas"@en	""
<http://purl.obolibrary.org/obo/LANG_1001634>	"Dubu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001635>	"Dumpas"@en	""
<http://purl.obolibrary.org/obo/LANG_1001636>	"Mudburra"@en	""
<http://purl.obolibrary.org/obo/LANG_1001637>	"Dema"@en	""
<http://purl.obolibrary.org/obo/LANG_1001638>	"Demta"@en	""
<http://purl.obolibrary.org/obo/LANG_1001639>	"Upper Grand Valley Dani"@en	""
<http://purl.obolibrary.org/obo/LANG_1001640>	"Daonda"@en	""
<http://purl.obolibrary.org/obo/LANG_1001641>	"Ndendeule"@en	""
<http://purl.obolibrary.org/obo/LANG_1001642>	"Dungan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001643>	"Lower Grand Valley Dani"@en	""
<http://purl.obolibrary.org/obo/LANG_1001644>	"Dan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001645>	"Dengka"@en	""
<http://purl.obolibrary.org/obo/LANG_1001646>	"Dzùùngoo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001647>	"Ndrulo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001648>	"Danaru"@en	""
<http://purl.obolibrary.org/obo/LANG_1001649>	"Mid Grand Valley Dani"@en	""
<http://purl.obolibrary.org/obo/LANG_1001650>	"Danau"@en	""
<http://purl.obolibrary.org/obo/LANG_1001651>	"Danu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001652>	"Western Dani"@en	""
<http://purl.obolibrary.org/obo/LANG_1001653>	"Dení"@en	""
<http://purl.obolibrary.org/obo/LANG_1001654>	"Dom"@en	""
<http://purl.obolibrary.org/obo/LANG_1001655>	"Dobu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001656>	"Northern Dong"@en	""
<http://purl.obolibrary.org/obo/LANG_1001657>	"Doe"@en	""
<http://purl.obolibrary.org/obo/LANG_1001658>	"Domu"@en	""
<http://purl.obolibrary.org/obo/LANG_1001659>	"Dong"@en	""
<http://purl.obolibrary.org/obo/LANG_1001660>	"Dogri (macrolanguage)"@en	"Dogri"@de
<http://purl.obolibrary.org/obo/LANG_1001661>	"Dondo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001662>	"Doso"@en	""
<http://purl.obolibrary.org/obo/LANG_1001663>	"Toura (Papua New Guinea)"@en	""
<http://purl.obolibrary.org/obo/LANG_1001664>	"Dongo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001665>	"Lukpa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001666>	"Dominican Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001667>	"Dori'o"@en	""
<http://purl.obolibrary.org/obo/LANG_1001668>	"Dogosé"@en	""
<http://purl.obolibrary.org/obo/LANG_1001669>	"Dass"@en	""
<http://purl.obolibrary.org/obo/LANG_1001670>	"Dombe"@en	""
<http://purl.obolibrary.org/obo/LANG_1001671>	"Doyayo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001672>	"Bussa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001673>	"Dompo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001674>	"Dorze"@en	""
<http://purl.obolibrary.org/obo/LANG_1001675>	"Papar"@en	""
<http://purl.obolibrary.org/obo/LANG_1001676>	"Dair"@en	""
<http://purl.obolibrary.org/obo/LANG_1001677>	"Minderico"@en	""
<http://purl.obolibrary.org/obo/LANG_1001678>	"Darmiya"@en	""
<http://purl.obolibrary.org/obo/LANG_1001679>	"Dolpo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001680>	"Rungus"@en	""
<http://purl.obolibrary.org/obo/LANG_1001681>	"C'Lela"@en	""
<http://purl.obolibrary.org/obo/LANG_1001682>	"Paakantyi"@en	""
<http://purl.obolibrary.org/obo/LANG_1001683>	"West Damar"@en	""
<http://purl.obolibrary.org/obo/LANG_1001684>	"Daro-Matu Melanau"@en	""
<http://purl.obolibrary.org/obo/LANG_1001685>	"Dura"@en	""
<http://purl.obolibrary.org/obo/LANG_1001686>	"Dororo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001687>	"Gedeo"@en	""
<http://purl.obolibrary.org/obo/LANG_1001688>	"Drents"@en	""
<http://purl.obolibrary.org/obo/LANG_1001689>	"Rukai"@en	""
<http://purl.obolibrary.org/obo/LANG_1001690>	"Darai"@en	""
<http://purl.obolibrary.org/obo/LANG_1001691>	"Lower Sorbian"@en	"Niedersorbisch"@de
<http://purl.obolibrary.org/obo/LANG_1001692>	"Dutch Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001693>	"Daasanach"@en	""
<http://purl.obolibrary.org/obo/LANG_1001694>	"Disa"@en	""
<http://purl.obolibrary.org/obo/LANG_1001695>	"Danish Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1001696>	"Dusner"@en	""
<http://purl.obolibrary.org/obo/LANG_1001697>	"Desiya"@en	""
<http://purl.obolibrary.org/obo/LANG_1001698>	"Tadaksahak"@en	""
<http://purl.obolibrary.org/obo/LANG_1001699>	"Daur"@en	""
<http://purl.obolibrary.org/obo/LANG_1001700>	"Labuk-Kinabatangan Kadazan"@en	""
<http://purl.obolibrary.org/obo/LANG_1001701>	"Ditidaht"@en	""
<http://purl.obolibrary.org/obo/LANG_1001702>	"Adithinngithigh"@en	""
<http://purl.obolibrary.org/obo/LANG_1001703>	"Ana Tinga Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001704>	"Tene Kan Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001705>	"Tomo Kan Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001706>	"Daatsʼíin"@en	""
<http://purl.obolibrary.org/obo/LANG_1001707>	"Tommo So Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001708>	"Kadazan Dusun"@en	""
<http://purl.obolibrary.org/obo/LANG_1001709>	"Lotud"@en	""
<http://purl.obolibrary.org/obo/LANG_1001710>	"Toro So Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001711>	"Toro Tegu Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001712>	"Tebul Ure Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1001713>	"Dotyali"@en	""
<http://purl.obolibrary.org/obo/LANG_1001714>	"Duala"@en	"Duala-Sprachen"@de
<http://purl.obolibrary.org/obo/LANG_1001715>	"Dubli"@en	""
<http://purl.obolibrary.org/obo/LANG_1001716>	"Duna"@en	""
<http://purl.obolibrary.org/obo/LANG_1001717>	"Umiray Dumaget Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1001718>	"Dumbea"@en	""
<http://purl.obolibrary.org/obo/LANG_1001719>	"Duruma"@en	""
<http://purl.obolibrary.org/obo/LANG_1001720>	"Dungra Bhil"@en	""
<http://purl.obolibrary.org/obo/LANG_1001721>	"Dumun"@en	""
<http://purl.obolibrary.org/obo/LANG_1001722>	"Uyajitaya"@en	""
<http://purl.obolibrary.org/obo/LANG_1001723>	"Alabat Island Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1001724>	"Middle Dutch (ca. 1050-1350)"@en	"Mittelniederländisch"@de
<http://purl.obolibrary.org/obo/LANG_1001725>	"Dusun Deyah"@en	""
<http://purl.obolibrary.org/obo/LANG_1001726>	"Dupaninan Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1001727>	"Duano"@en	""
